id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
CAD5	KOZ1C	KOZ1T	1082.2605043852418	326.9599694328129	1.7270954925418027	NA	NA	notDE
CBF3	KOZ1C	KOZ1T	14.28965558689701	8.705515620993939	0.7112433636978196	0.590105606180297	0.9999258991348372	notDE
CBF4	KOZ1C	KOZ1T	13.8637201988216	9.69707319940155	0.5130409417278281	0.5654005021375121	0.9999258991348372	notDE
CBF7	KOZ1C	KOZ1T	10.46448569963228	22.23048157371448	-1.0982020537546924	0.10154381745211374	0.9999258991348372	notDE
CBL2	KOZ1C	KOZ1T	552.5026548567905	573.4594192436972	-0.052694623896861865	0.7484808683177834	0.9999258991348372	notDE
LOC100820831	KOZ1C	KOZ1T	108.3358169727159	128.21207130136492	-0.2469311789002978	0.28169656007699273	0.9999258991348372	notDE
LOC100820833	KOZ1C	KOZ1T	247.74621659483566	242.6267074253784	0.02699290713057789	0.9282812055255599	0.9999258991348372	notDE
LOC100820835	KOZ1C	KOZ1T	674.6033957844261	683.7806793023742	-0.02082781432299611	0.9084335002360867	0.9999258991348372	notDE
LOC100820836	KOZ1C	KOZ1T	9.139347105869355	9.267433006366272	-0.0044150871666234996	0.995308022490702	0.9999258991348372	notDE
LOC100820837	KOZ1C	KOZ1T	8.786529403697621	11.158307942947786	-0.3657365424154854	0.6578773064096874	0.9999258991348372	notDE
LOC100820838	KOZ1C	KOZ1T	1124.4011137707957	1137.2032433875067	-0.016614886823027527	0.9411847256122416	0.9999258991348372	notDE
LOC100820840	KOZ1C	KOZ1T	459.55258606013723	472.6520190884782	-0.04248514272122495	0.8481379398473443	0.9999258991348372	notDE
LOC100820841	KOZ1C	KOZ1T	31.959488235698842	49.10241801044121	-0.6250876016263351	0.24926922130549262	0.9999258991348372	notDE
LOC100820842	KOZ1C	KOZ1T	160.20414596960933	28.805245309499483	2.477813109314893	0.0022706943808122964	0.27344040560560245	notDE
LOC100820843	KOZ1C	KOZ1T	270.27689234591594	213.31582861476477	0.34511929729676144	0.14213611364952197	0.9999258991348372	notDE
LOC100820844	KOZ1C	KOZ1T	330.9505362050583	316.40679037546266	0.06579854329092819	0.7235333533871913	0.9999258991348372	notDE
LOC100820845	KOZ1C	KOZ1T	862.9221035901237	950.7802245339645	-0.14115860302685315	0.46364059403963703	0.9999258991348372	notDE
LOC100820846	KOZ1C	KOZ1T	150.54746982668476	121.07562525213602	0.31550217223881805	0.1547324045888465	0.9999258991348372	notDE
LOC100820847	KOZ1C	KOZ1T	184.286327155005	215.87502589673372	-0.23125660886789223	0.3072253355415379	0.9999258991348372	notDE
LOC100820848	KOZ1C	KOZ1T	394.91698205787105	387.5348933312387	0.024982904781414808	0.8861705828983589	0.9999258991348372	notDE
LOC100820849	KOZ1C	KOZ1T	1.9701027637521993	6.437764963520816	-1.728830026823171	0.18134018625631473	0.9999258991348372	notDE
LOC100820850	KOZ1C	KOZ1T	26.834356696505576	16.511994495820627	0.7018817893507768	0.18608655597491028	0.9999258991348372	notDE
LOC100820851	KOZ1C	KOZ1T	493.97235712435423	433.0503537130289	0.1918092610988284	0.3142210389380406	0.9999258991348372	notDE
LOC100820852	KOZ1C	KOZ1T	53.64264409790875	42.77220726313255	0.321471406988685	0.4451857294824189	0.9999258991348372	notDE
LOC100820853	KOZ1C	KOZ1T	215.2326562219635	224.6198732740457	-0.06176193957472016	0.7995010766336675	0.9999258991348372	notDE
LOC100820856	KOZ1C	KOZ1T	84.25212095527657	73.05279914434408	0.20229617311523054	0.4967598202925432	0.9999258991348372	notDE
LOC100820857	KOZ1C	KOZ1T	2.3016573314896394	18.77739372928407	-2.9892891705794433	0.14104137047927265	0.9999258991348372	notDE
LOC100820859	KOZ1C	KOZ1T	68.73440477328951	69.82972785644554	-0.01708521704915687	0.9601427460733618	0.9999258991348372	notDE
LOC100820860	KOZ1C	KOZ1T	1355.3596216214019	1255.1400657329757	0.11016996588013817	0.4133433371865348	0.9999258991348372	notDE
LOC100820863	KOZ1C	KOZ1T	148.45213090535498	143.6593820186438	0.04246023165293755	0.8853659052822368	0.9999258991348372	notDE
LOC100820864	KOZ1C	KOZ1T	1120.8071312004213	1099.575560713303	0.028397737088839844	0.8268870223347888	0.9999258991348372	notDE
