AGL6	0
BDG1	0
CAD5	306
CBF2	0
CBF3	15
CBF4	13
CBF5	0
CBF7	13
CBL2	531
LOC100820831	125
LOC100820833	259
LOC100820835	594
LOC100820836	10
LOC100820837	5
LOC100820838	1294
LOC100820840	479
LOC100820841	35
LOC100820842	24
LOC100820843	206
LOC100820844	326
LOC100820845	892
LOC100820846	120
LOC100820847	233
LOC100820848	343
LOC100820849	7
LOC100820850	23
LOC100820851	415
LOC100820852	56
LOC100820853	236
LOC100820854	0
LOC100820856	63
LOC100820857	4
LOC100820859	82
LOC100820860	1153
LOC100820861	0
LOC100820863	142
LOC100820864	1052
LOC100820865	0
LOC100820866	0
LOC100820867	1
LOC100820868	204
LOC100820870	27
LOC100820871	103
LOC100820872	1435
LOC100820873	186
LOC100820874	793
LOC100820876	52
LOC100820878	531
LOC100820879	70
LOC100820881	22
LOC100820882	188
LOC100820883	245
LOC100820884	1
LOC100820885	372
LOC100820886	222
LOC100820887	102
LOC100820888	360
LOC100820889	29
LOC100820890	0
LOC100820891	11
LOC100820892	2
LOC100820894	327
LOC100820895	3
LOC100820897	154
LOC100820898	0
LOC100820899	185
LOC100820900	1335
LOC100820901	135
LOC100820902	113
LOC100820903	395
LOC100820904	166
LOC100820905	1
LOC100820906	786
LOC100820907	2025
LOC100820908	303
LOC100820909	0
LOC100820910	0
LOC100820912	0
LOC100820913	47
LOC100820914	222
LOC100820915	383
LOC100820916	65
LOC100820918	0
LOC100820919	1
LOC100820920	90
LOC100820921	46
LOC100820922	4
LOC100820923	2
LOC100820924	290
LOC100820925	291
LOC100820926	1
LOC100820927	96
LOC100820928	690
LOC100820929	454
LOC100820930	516
LOC100820931	132
LOC100820932	68
LOC100820933	0
LOC100820934	13
LOC100820935	21
LOC100820937	41
LOC100820938	321
LOC100820939	0
LOC100820941	0
LOC100820942	34
LOC100820943	315
LOC100820944	31
LOC100820945	10
LOC100820946	4
LOC100820947	63
LOC100820948	137
LOC100820949	1003
LOC100820950	7
LOC100820951	161
LOC100820952	648
LOC100820954	293
LOC100820955	613
LOC100820956	407
LOC100820958	134
LOC100820959	69
LOC100820960	289
LOC100820961	391
LOC100820962	53
LOC100820963	65
LOC100820964	421
LOC100820965	12
LOC100820966	192
LOC100820967	562
LOC100820968	11560
LOC100820969	432
LOC100820970	350
LOC100820972	0
LOC100820974	0
LOC100820976	17
LOC100820977	8
LOC100820978	265
LOC100820979	1
LOC100820980	617
LOC100820981	300
LOC100820982	626
LOC100820983	339
LOC100820984	129
LOC100820985	244
LOC100820986	219
LOC100820987	107
LOC100820988	1
LOC100820989	22
LOC100820990	1619
LOC100820991	181
LOC100820995	59
LOC100820997	0
LOC100820998	67
LOC100820999	62
LOC100821000	226
LOC100821001	59
LOC100821002	2195
LOC100821003	384
LOC100821004	17843
LOC100821005	967
LOC100821006	112
LOC100821007	3140
LOC100821008	369
LOC100821009	6355
LOC100821010	222
