AGL6	0
BDG1	0
CAD5	271
CBF2	0
CBF3	10
CBF4	13
CBF5	0
CBF7	36
CBL2	525
LOC100820831	123
LOC100820833	233
LOC100820835	735
LOC100820836	11
LOC100820837	13
LOC100820838	1099
LOC100820840	470
LOC100820841	26
LOC100820842	23
LOC100820843	218
LOC100820844	317
LOC100820845	831
LOC100820846	115
LOC100820847	180
LOC100820848	388
LOC100820849	3
LOC100820850	15
LOC100820851	443
LOC100820852	31
LOC100820853	245
LOC100820854	0
LOC100820856	85
LOC100820857	0
LOC100820859	64
LOC100820860	1273
LOC100820861	0
LOC100820863	141
LOC100820864	1074
LOC100820865	1
LOC100820866	1
LOC100820867	0
LOC100820868	185
LOC100820870	26
LOC100820871	83
LOC100820872	1494
LOC100820873	232
LOC100820874	670
LOC100820876	33
LOC100820878	461
LOC100820879	86
LOC100820881	27
LOC100820882	158
LOC100820883	270
LOC100820884	2
LOC100820885	308
LOC100820886	245
LOC100820887	150
LOC100820888	329
LOC100820889	38
LOC100820890	1
LOC100820891	18
LOC100820892	2
LOC100820894	279
LOC100820895	4
LOC100820897	222
LOC100820898	0
LOC100820899	296
LOC100820900	963
LOC100820901	144
LOC100820902	93
LOC100820903	309
LOC100820904	121
LOC100820905	1
LOC100820906	744
LOC100820907	2136
LOC100820908	367
LOC100820909	0
LOC100820910	0
LOC100820912	0
LOC100820913	30
LOC100820914	197
LOC100820915	366
LOC100820916	48
LOC100820918	2
LOC100820919	1
LOC100820920	100
LOC100820921	48
LOC100820922	5
LOC100820923	0
LOC100820924	339
LOC100820925	305
LOC100820926	5
LOC100820927	74
LOC100820928	758
LOC100820929	496
LOC100820930	326
LOC100820931	98
LOC100820932	47
LOC100820933	0
LOC100820934	12
LOC100820935	21
LOC100820937	52
LOC100820938	281
LOC100820939	2
LOC100820941	0
LOC100820942	23
LOC100820943	300
LOC100820944	71
LOC100820945	2
LOC100820946	0
LOC100820947	85
LOC100820948	113
LOC100820949	1032
LOC100820950	9
LOC100820951	233
LOC100820952	658
LOC100820954	352
LOC100820955	452
LOC100820956	316
LOC100820958	110
LOC100820959	102
LOC100820960	361
LOC100820961	570
LOC100820962	41
LOC100820963	41
LOC100820964	376
LOC100820965	16
LOC100820966	182
LOC100820967	522
LOC100820968	10730
LOC100820969	481
LOC100820970	439
LOC100820972	1
LOC100820974	0
LOC100820976	26
LOC100820977	5
LOC100820978	270
LOC100820979	0
LOC100820980	744
LOC100820981	344
LOC100820982	451
LOC100820983	401
LOC100820984	153
LOC100820985	232
LOC100820986	339
LOC100820987	131
LOC100820988	3
LOC100820989	23
LOC100820990	1730
LOC100820991	200
LOC100820995	26
LOC100820997	0
LOC100820998	70
LOC100820999	50
LOC100821000	186
LOC100821001	57
LOC100821002	2349
LOC100821003	416
LOC100821004	17134
LOC100821005	1023
LOC100821006	123
LOC100821007	4097
LOC100821008	419
LOC100821009	6892
LOC100821010	228
